molecule_chembl_id,pchembl_value
CHEMBL4752492,6.91
CHEMBL3612570,6.25
CHEMBL1958211,5.1
CHEMBL5950050,8.0
CHEMBL5962642,6.9333
CHEMBL470003,7.57
CHEMBL5218780,6.675
CHEMBL4552429,6.875
CHEMBL1272275,5.46
CHEMBL6012240,8.7
CHEMBL6001160,7.16
CHEMBL3092310,7.2
CHEMBL5193772,7.595
CHEMBL2336359,4.9
CHEMBL258282,8.3
CHEMBL3671575,6.71
CHEMBL4203110,6.04
CHEMBL5204954,6.36
CHEMBL1242112,6.04
CHEMBL2029437,8.864
CHEMBL5594128,7.07
CHEMBL5992914,5.71
CHEMBL598163,8.47
CHEMBL6064756,7.13
CHEMBL3765263,8.445
CHEMBL352801,6.38
CHEMBL175101,7.66
CHEMBL56393,6.0433
CHEMBL490687,5.12
CHEMBL3671481,7.58
CHEMBL5857367,9.0
CHEMBL5755194,8.0
CHEMBL604671,5.17
CHEMBL257430,8.1
CHEMBL78049,5.04
CHEMBL3902295,5.33
CHEMBL4448148,6.62
CHEMBL2385988,5.22
CHEMBL196548,6.02
CHEMBL3114688,7.89
CHEMBL1203939,8.03
CHEMBL289162,7.02
CHEMBL4795165,7.59
CHEMBL473553,7.2
CHEMBL113070,7.1
CHEMBL5892248,6.19
CHEMBL3754213,7.72
CHEMBL4282543,8.63
CHEMBL304271,9.35
CHEMBL6017936,5.57
CHEMBL67057,8.35
CHEMBL3970399,7.06
CHEMBL6017545,5.26
CHEMBL57759,8.15
CHEMBL4753700,7.71
CHEMBL592480,6.25
CHEMBL3608430,7.708
CHEMBL330323,6.7
CHEMBL1172781,6.78
CHEMBL243628,6.415
CHEMBL473556,5.82
CHEMBL5844686,8.0
CHEMBL162821,9.35
CHEMBL6051041,7.85
CHEMBL157128,6.82
CHEMBL80540,8.52
CHEMBL5770089,7.66
CHEMBL3961848,8.52
CHEMBL4064937,7.54
CHEMBL1080506,5.1
CHEMBL4579805,6.04
CHEMBL6034266,7.64
CHEMBL4165267,7.13
CHEMBL1090357,7.885
CHEMBL6006209,8.4
CHEMBL1241439,5.22
CHEMBL10,4.02
CHEMBL5946635,6.26
CHEMBL5199106,6.13
CHEMBL5208737,7.425
CHEMBL3967219,7.89
CHEMBL93181,8.0
CHEMBL4079566,8.245
CHEMBL293584,6.3
CHEMBL3947406,8.4
CHEMBL5814864,6.26
CHEMBL5179288,5.8667
CHEMBL4530170,8.79
CHEMBL4785849,7.39
CHEMBL4858583,9.41
CHEMBL583683,6.41
CHEMBL6046213,7.395
CHEMBL6047706,8.67
CHEMBL76905,4.43
CHEMBL4175782,8.11
CHEMBL5180251,9.19
CHEMBL49350,5.85
CHEMBL4286318,8.2
CHEMBL4212326,7.28
CHEMBL5897021,8.7
CHEMBL307062,6.09
CHEMBL3297894,7.52
CHEMBL36819,6.6
CHEMBL5591496,8.45
CHEMBL116308,6.45
CHEMBL5767398,4.98
CHEMBL3671580,7.92
CHEMBL377772,6.77
CHEMBL422531,4.92
CHEMBL80745,5.96
CHEMBL326811,5.79
CHEMBL5630690,7.665
CHEMBL5926724,5.26
CHEMBL5416719,6.99
CHEMBL153206,8.405
CHEMBL76432,7.845
CHEMBL5745328,6.305
CHEMBL5186362,9.52
CHEMBL3923551,6.71
CHEMBL5408586,7.305
CHEMBL2347972,7.055
CHEMBL5763337,8.52
CHEMBL1933083,7.26
CHEMBL3237938,4.74
CHEMBL1645476,8.0
CHEMBL75049,5.72
CHEMBL5181237,7.955
CHEMBL4098500,7.12
CHEMBL137364,7.19
CHEMBL3628799,5.4
CHEMBL122243,6.1
CHEMBL3586179,5.01
CHEMBL3805859,7.675
CHEMBL2437459,5.29
CHEMBL129579,8.32
CHEMBL5172236,8.19
CHEMBL1242111,5.75
CHEMBL4540442,7.61
CHEMBL300491,8.0
CHEMBL5284179,7.66
CHEMBL263528,6.77
CHEMBL81375,6.85
CHEMBL538814,6.34
CHEMBL4540303,9.43
CHEMBL53555,8.795
CHEMBL4745195,9.07
CHEMBL3753208,7.04
CHEMBL444724,8.44
CHEMBL1242752,4.27
CHEMBL541988,5.06
CHEMBL5276760,6.83
CHEMBL5290595,6.83
CHEMBL459,5.28
CHEMBL4067855,7.95
CHEMBL1242290,5.52
CHEMBL215033,7.0
CHEMBL245277,6.16
CHEMBL394495,6.92
CHEMBL3680375,7.95
CHEMBL4245874,6.55
CHEMBL5185864,7.95
CHEMBL5847902,7.54
CHEMBL1242377,5.85
CHEMBL73820,4.56
CHEMBL1830264,4.72
CHEMBL5773114,9.5267
CHEMBL5755291,9.0233
CHEMBL3092299,5.885
CHEMBL5749405,8.52
CHEMBL5281203,6.585
CHEMBL4581088,5.1
CHEMBL3760082,8.52
CHEMBL3233788,7.665
CHEMBL6017494,8.52
CHEMBL4077930,5.57
CHEMBL5760659,7.025
CHEMBL5957231,9.8533
CHEMBL3699612,7.7
CHEMBL515401,6.68
CHEMBL2381508,6.9667
CHEMBL3622632,8.92
CHEMBL5422383,7.58
CHEMBL5631610,6.855
CHEMBL4792967,9.77
CHEMBL6015337,7.75
CHEMBL6026303,6.83
CHEMBL4463563,6.04
CHEMBL2316143,5.68
CHEMBL4850856,6.68
CHEMBL4303382,7.235
CHEMBL5896727,9.3533
CHEMBL1200558,5.27
CHEMBL2425083,7.62
CHEMBL5188281,7.4033
CHEMBL4848234,6.93
CHEMBL1914666,6.0
