molecule_chembl_id,canonical_smiles,inchi_key,pchembl_value,bioactivity_class,group_type,MW,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,violates_mw,violates_logp,violates_hdonors,violates_hacceptors,ro5_violations
CHEMBL5558098,C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(/C=C/c4ccc5c(c4)CN(C)C5=O)c3)n2)C1,QKXGTJDGDYIKQD-FFUNVAGCSA-N,6.66,active,single_entry,515.6170000000002,5.327500000000006,0.0,5.0,71.33000000000001,6.0,True,True,False,False,2
CHEMBL1172803,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(Cl)cc1,QKYBBNMPJXASCG-QPJJXVBHSA-N,5.44,intermediate,single_entry,335.74699999999996,3.0097200000000015,0.0,6.0,87.25999999999999,6.0,False,False,False,False,0
CHEMBL5827799,C/C=C/C(=O)OCc1cccc(Nc2nc(Nc3ccccc3)ncc2C)c1,QKZGEULCBCCZIK-FPYGCLRLSA-N,5.62,intermediate,nonzero_sd,374.4440000000001,4.891520000000003,2.0,6.0,76.14,7.0,False,False,False,False,0
CHEMBL544833,COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1OC.Cl,QLCQETFQEUVCAA-UHFFFAOYSA-N,6.46,active,single_entry,377.82800000000015,3.8296000000000032,1.0,7.0,74.73,6.0,False,False,False,False,0
CHEMBL3980622,CCC(=O)Nc1cc2c(Nc3ccc(Cc4ccccn4)cc3)ncnc2cc1OC,QLFTUFXDFRRBKL-UHFFFAOYSA-N,6.69,active,single_entry,413.4810000000001,4.716300000000002,2.0,6.0,89.03,7.0,False,False,False,False,0
CHEMBL4093642,COc1cc(Br)c(/C=C2\CN(C(C)C)CC(=C\c3nc(C)c(C)nc3C)/C2=N/O)cc1OC,QLJVUGOZYMSDGQ-WBAKZUHQSA-N,5.31,intermediate,single_entry,515.4520000000003,5.202760000000005,1.0,7.0,80.07000000000001,5.0,True,True,False,False,2
CHEMBL5870529,CCN1CCc2c([C@H](Nc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)C3=CN(C(C)C)NN3)csc2C1,QLKHCCQUZBAKGP-HKBQPEDESA-N,8.52,active,single_entry,637.6160000000001,7.4632800000000055,4.0,9.0,91.28,8.0,True,True,False,False,2
CHEMBL215716,[O-][S+]1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6ccccc6)c(F)c5)c4c3)o2)CC1,QLLLIGGXRUNRDR-UHFFFAOYSA-N,7.8,active,single_entry,542.6360000000001,5.915800000000005,1.0,7.0,86.48,8.0,True,True,False,False,2
CHEMBL251123,CCOc1cc2ncnc(/C=C/CCCc3ccccc3)c2cc1OCC,QLOYTAAAUVDJCT-GXDHUFHOSA-N,6.85,active,single_entry,362.4730000000001,5.463300000000005,0.0,4.0,44.24000000000001,9.0,False,True,False,False,1
CHEMBL5962278,COc1cc(C2CCNCC2)c(C)cc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,QLOZCEXTSVOFQC-UHFFFAOYSA-N,7.625,active,nonzero_sd,517.0550000000001,4.772720000000002,4.0,8.0,117.27,8.0,True,False,False,False,1
